,path,functions,complexity,comment_lines_density,duplicated_lines_density,coverage,ncloc,security_rating,tests,test_success_density,test_execution_time,reliability_rating,filename,repository,version
841,src/routes/index.js,0,0,0.0,0.0,,1,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
842,src/context/index.js,0,0,0.0,0.0,,4,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
843,src/utils/index.js,0,0,0.0,0.0,,2,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
844,src/config/interceptors-request.js,4,7,0.0,0.0,,36,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
845,src/config/interceptors-response.js,4,7,0.0,0.0,,22,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
846,src/context/languageContext.js,4,4,0.0,0.0,,19,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
847,src/services/offlineStorageService.js,3,4,0.0,0.0,,13,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
848,src/routes/routes-protected.js,1,2,0.0,0.0,,9,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
849,src/routes/routes.js,1,1,0.0,0.0,,17,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
850,server.js,1,2,0.0,0.0,,8,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
851,src/utils/storage-keys.js,0,0,0.0,0.0,,1,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
852,src/context/trunkContext.js,4,4,0.0,0.0,,19,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
853,src/hooks/usePersistentState.js,4,6,0.0,0.0,,23,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
854,src/hooks/useUpdateEffect.js,2,3,0.0,0.0,,13,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-08-03.34.json,Admin,2021-11-08-03.34
385,src/database/migrations/20210905150614-createTable-Conteudo.js,2,2,0.0,0.0,,47,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Content-2021-09-14-03:28.json,Content,2021-09-14-03:28
386,src/database/migrations/20210905150615-createTable-Lingua.js,2,2,0.0,77.5,,37,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Content-2021-09-14-03:28.json,Content,2021-09-14-03:28
387,src/database/migrations/20210905150616-createTable-Localidade.js,2,2,0.0,0.0,,31,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Content-2021-09-14-03:28.json,Content,2021-09-14-03:28
388,src/database/migrations/20210905150656-createTable-Palavra.js,2,2,0.0,0.0,,41,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Content-2021-09-14-03:28.json,Content,2021-09-14-03:28
389,src/database/migrations/20210905150707-createTable-Etnia.js,2,2,0.0,77.5,,37,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Content-2021-09-14-03:28.json,Content,2021-09-14-03:28
390,src/database/migrations/20210905150716-createTable-Tronco.js,2,2,0.0,77.5,,37,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Content-2021-09-14-03:28.json,Content,2021-09-14-03:28
391,src/app.js,4,4,0.0,0.0,,32,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Content-2021-09-14-03:28.json,Content,2021-09-14-03:28
392,src/models/Conteudo/Conteudo.js,0,0,0.0,0.0,,29,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Content-2021-09-14-03:28.json,Content,2021-09-14-03:28
393,src/controllers/Etnia/createEtnia.js,1,3,0.0,0.0,,16,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Content-2021-09-14-03:28.json,Content,2021-09-14-03:28
394,src/config/database.js,0,1,0.0,0.0,,21,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Content-2021-09-14-03:28.json,Content,2021-09-14-03:28
395,src/controllers/Etnia/deleteEtnia.js,1,3,0.0,0.0,,20,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Content-2021-09-14-03:28.json,Content,2021-09-14-03:28
396,src/models/Etnia/Etnia.js,0,0,0.0,0.0,,34,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Content-2021-09-14-03:28.json,Content,2021-09-14-03:28
397,src/routes/Etnia/etnia.routes.js,0,0,0.0,0.0,,16,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Content-2021-09-14-03:28.json,Content,2021-09-14-03:28
398,src/controllers/Etnia/getAllEtnia.js,1,2,0.0,0.0,,9,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Content-2021-09-14-03:28.json,Content,2021-09-14-03:28
399,src/controllers/Etnia/getOneEtnia.js,1,3,0.0,0.0,,16,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Content-2021-09-14-03:28.json,Content,2021-09-14-03:28
400,src/middlewares/httpException.js,1,3,0.0,0.0,,9,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Content-2021-09-14-03:28.json,Content,2021-09-14-03:28
401,src/error/HttpException.js,1,1,0.0,0.0,,7,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Content-2021-09-14-03:28.json,Content,2021-09-14-03:28
402,src/database/index.js,2,2,0.0,0.0,,11,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Content-2021-09-14-03:28.json,Content,2021-09-14-03:28
403,src/routes/index.js,1,1,0.0,0.0,,4,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Content-2021-09-14-03:28.json,Content,2021-09-14-03:28
